Agricultural Practice,Day,Cases
Control,1,1.0
Control,2,12762.57
Control,3,61518613.85
Control,4,95092423.63
Control,5,90656718.64
Control,6,86422531.9
Control,7,82386105.09
Control,8,78538202.51
Control,9,74870018.83
Control,10,71373160.21
Control,11,68039625.04
Control,12,64861784.85
Control,13,61832367.91
Control,14,58944442.12
Control,15,56191399.15
Control,16,53566939.55
Control,17,51065057.19
Control,18,48680026.76
Control,19,46406390.87
Control,20,44238946.94
Control,21,42172735.11
Control,22,40203027.16
Control,23,38325315.78
Control,24,36535304.26
Control,25,34828896.6
Control,26,33202188.02
Control,27,31651456.06
Control,28,30173152.17
Control,29,28763893.51
Control,30,27420455.25
Control,31,26139763.24
Control,32,24918886.87
Control,33,23755032.42
Control,34,22645536.65
Control,35,21587860.65
Control,36,20579584.15
Control,37,19618399.93
Control,38,18702108.5
Control,39,17828613.15
Control,40,16995915.02
Control,41,16202108.63
Control,42,15445377.54
Control,43,14723990.11
Control,44,14036295.62
Control,45,13380720.38
Control,46,12755764.24
Control,47,12159997.13
Control,48,11592055.75
Control,49,11050640.49
Control,50,10534512.41
Control,51,10042490.46
Control,52,9573448.74
Control,53,9126313.96
Control,54,8700062.93
Control,55,8293720.26
Control,56,7906356.11
Control,57,7537084.08
Control,58,7185059.17
Control,59,6849475.83
Control,60,6529566.16
Control,61,6224598.08
Control,62,5933873.74
Control,63,5656727.88
Control,64,5392526.32
Control,65,5140664.48
Control,66,4900566.04
Control,67,4671681.54
Control,68,4453487.27
Control,69,4245483.92
Control,70,4047195.46
Control,71,3858168.28
Control,72,3677969.82
Control,73,3506187.55
Control,74,3342428.54
Control,75,3186318.0
Control,76,3037498.72
Control,77,2895630.14
Control,78,2760387.65
Control,79,2631461.75
Control,80,2508557.44
Control,81,2391393.48
Control,82,2279701.72
Control,83,2173226.58
Control,84,2071724.44
Control,85,1974963.06
Control,86,1882720.99
Control,87,1794787.14
Control,88,1710960.31
Control,89,1631048.67
Control,90,1554869.36
Control,91,1482248.06
Control,92,1413018.6
Control,93,1347022.54
Control,94,1284108.88
Control,95,1224133.65
Control,96,1166959.6
Control,97,1112455.91
Control,98,1060497.85
Control,99,1010966.52
Control,100,963748.6
Control,101,918736.02
Control,102,875825.79
Control,103,834919.72
Control,104,795924.18
Control,105,758749.97
Control,106,723312.0
Control,107,689529.19
Control,108,657324.23
Control,109,626623.43
Control,110,597356.53
Control,111,569456.56
Control,112,542859.67
Control,113,517505.02
Control,114,493334.57
Control,115,470293.03
Control,116,448327.65
Control,117,427388.18
Control,118,407426.71
Control,119,388397.55
Control,120,370257.16
Control,121,352964.04
Control,122,336478.6
Control,123,320763.12
Control,124,305781.65
Control,125,291499.89
Control,126,277885.18
Control,127,264906.35
Control,128,252533.71
Control,129,240738.94
Control,130,229495.06
Control,131,218776.32
Control,132,208558.22
Control,133,198817.35
Control,134,189531.45
Control,135,180679.24
Control,136,172240.49
Control,137,164195.87
Control,138,156526.99
Control,139,149216.28
Control,140,142247.03
Control,141,135603.28
Control,142,129269.83
Control,143,123232.19
Control,144,117476.54
Control,145,111989.71
Control,146,106759.15
Control,147,101772.89
Control,148,97019.51
Control,149,92488.15
Control,150,88168.42
Control,151,84050.45
Control,152,80124.81
Control,153,76382.53
Control,154,72815.02
Control,155,69414.15
Control,156,66172.11
Control,157,63081.49
Control,158,60135.23
Control,159,57326.57
Control,160,54649.09
Control,161,52096.66
Control,162,49663.45
Control,163,47343.88
Control,164,45132.65
Control,165,43024.7
Control,166,41015.2
Control,167,39099.56
Control,168,37273.38
Control,169,35532.5
Control,170,33872.93
Control,171,32290.87
Control,172,30782.7
Control,173,29344.97
Control,174,27974.4
Control,175,26667.83
Control,176,25422.29
Control,177,24234.93
Control,178,23103.02
Control,179,22023.97
Control,180,20995.33
Control,181,20014.73
Control,182,19079.92
Control,183,18188.78
Control,184,17339.26
Control,185,16529.42
Control,186,15757.4
Control,187,15021.44
Control,188,14319.85
Control,189,13651.03
Control,190,13013.45
Control,191,12405.65
Control,192,11826.23
Control,193,11273.88
Control,194,10747.33
Control,195,10245.37
Control,196,9766.85
Control,197,9310.68
Control,198,8875.82
Control,199,8461.27
Control,200,8066.08
Control,201,7689.35
Control,202,7330.21
Control,203,6987.85
Control,204,6661.47
Control,205,6350.34
Control,206,6053.75
Control,207,5771.0
Control,208,5501.46
Control,209,5244.51
Control,210,4999.57
Control,211,4766.06
Control,212,4543.45
Control,213,4331.25
Control,214,4128.96
Control,215,3936.11
Control,216,3752.27
Control,217,3577.02
Control,218,3409.95
Control,219,3250.69
Control,220,3098.86
Control,221,2954.13
Control,222,2816.15
Control,223,2684.62
Control,224,2559.23
Control,225,2439.7
